episode,total_reward,avg_response_min,icu_surge_count,diversions,triage_accuracy,epsilon
476,2406.21,1.58,5,6,74.0,0.2393
477,2302.95,1.57,6,4,70.0,0.2386
478,2307.33,1.62,5,5,68.0,0.2378
479,2554.56,1.44,6,5,70.0,0.2371
480,2276.22,1.56,6,7,74.0,0.2364
481,2802.48,1.52,7,7,68.0,0.2357
482,2598.3,1.51,4,5,58.0,0.235
483,2380.67,1.52,7,6,68.0,0.2343
484,2495.25,1.57,8,12,76.0,0.2336
485,2577.65,1.57,5,8,62.0,0.2329
486,2438.37,1.46,7,8,78.0,0.2322
487,2304.69,1.66,5,4,58.0,0.2315
488,2416.87,1.55,4,3,58.0,0.2308
489,2474.71,1.49,7,7,72.0,0.2301
490,2512.31,1.54,2,5,68.0,0.2294
491,2467.08,1.58,7,10,60.0,0.2287
492,2219.46,1.53,7,5,60.0,0.228
493,2638.76,1.6,3,10,74.0,0.2274
494,2246.13,1.58,6,4,60.0,0.2267
495,2370.41,1.5,4,4,60.0,0.226
496,2657.15,1.43,10,7,72.0,0.2253
497,2350.45,1.58,6,7,62.0,0.2246
498,2289.49,1.62,1,10,70.0,0.224
499,2284.91,1.52,4,7,70.0,0.2233
500,2077.22,1.54,5,5,58.0,0.2226
501,2124.98,1.72,4,8,58.0,0.222
502,2426.65,1.6,8,10,56.0,0.2213
503,2545.67,1.56,5,5,70.0,0.2206
504,2785.14,1.64,4,5,60.0,0.22
505,2181.22,1.47,6,4,62.0,0.2193
506,2380.37,1.56,3,8,72.0,0.2187
507,2427.34,1.49,2,6,72.0,0.218
508,2345.44,1.5,4,2,64.0,0.2173
509,2592.94,1.55,7,8,78.0,0.2167
510,2325.25,1.39,7,9,60.0,0.216
511,2505.44,1.64,5,2,62.0,0.2154
512,2165.21,1.45,3,6,64.0,0.2147
513,2204.64,1.58,6,13,66.0,0.2141
514,2503.95,1.48,6,5,74.0,0.2135
515,2581.47,1.61,4,10,72.0,0.2128
516,2296.68,1.51,5,9,70.0,0.2122
517,2360.26,1.6,2,3,78.0,0.2115
518,2444.67,1.6,2,6,54.0,0.2109
519,2609.64,1.5,8,7,74.0,0.2103
520,2628.15,1.58,9,9,80.0,0.2096
521,2562.19,1.47,5,10,70.0,0.209
522,2635.54,1.6,5,7,70.0,0.2084
523,2673.51,1.5,2,9,76.0,0.2078
524,2439.61,1.7,3,5,76.0,0.2071
525,2575.79,1.48,2,5,72.0,0.2065
526,2559.98,1.49,7,2,66.0,0.2059
527,2559.72,1.58,7,7,80.0,0.2053
528,2245.96,1.55,3,5,68.0,0.2047
529,2609.13,1.51,2,7,68.0,0.2041
